"MessageTraceId","Detail"
"1d5c87db-edcc-4d90-071b-08dc6b78471b","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"aa46f7db-f0a6-4f0e-8866-08dc6b7846cb","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"366327a0-f5d9-4d82-0507-08dc6b7840a5","Reason: [Stage: OnCreatedEvent][Agent: Approval Processing Agent];APPROVAL.ApprovalRequestUpdated; approval request updated successfully"
"366327a0-f5d9-4d82-0507-08dc6b7840a5","Reason: [Stage: OnCreatedEvent][Agent: Approval Processing Agent];APPROVAL.ApprovalRequestUpdated; approval request updated successfully"
"366327a0-f5d9-4d82-0507-08dc6b7840a5","Reason: [Stage: OnCreatedEvent][Agent: Approval Processing Agent];APPROVAL.ApprovalRequestUpdated; approval request updated successfully"
"366327a0-f5d9-4d82-0507-08dc6b7840a5","Reason: [Stage: OnCreatedEvent][Agent: Approval Processing Agent];APPROVAL.ApprovalRequestUpdated; approval request updated successfully"
"e7befb94-9e0a-4c2e-8ca1-08dc6b783f9b","Reason: [{LED=550-5.1.1 The email account that you tried to reach does not exist. Please try 550-5.1.1 double-checking the recipient's email address for typos or 550-5.1.1 unnecessary spaces. For more information, go to 550 5.1.1  https://support.google.com/mail/?p=NoSuchUser ip2-20020a17090b314200b002b23138870dsi1272589pjb.0 . OutboundProxyTargetIP: 74.125.20.14. OutboundProxyTargetHostName: gmr-smtp-in.l.google.com"
"4d4104a8-8372-4ed0-9835-08dc6b783f86","Reason: [Stage: OnCreatedEvent][Agent: Approval Processing Agent];APPROVAL.DecisionMarked; decision marked OK."
"968bdb0f-71d0-4045-2b77-08dc6b783f68","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"f7d4e419-2189-4784-8507-08dc6b783bf4","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"ba8564c4-14c1-41bb-809f-08dc6b7839dc","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"677def5c-95fb-4e9f-be5e-08dc6b7838ca","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"bebdac1f-b889-4e8e-99c9-08dc6b7837ca","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:52:07 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
"98346316-9f8e-4708-9ef1-08dc6b78374e","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:52:07 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
"da8d36ee-5b91-43ff-8301-08dc6b78373e","Reason: [{LED=550 5.7.133 RESOLVER.RST.SenderNotAuthenticatedForGroup; authentication required; Delivery restriction check failed because the sender was not authenticated when sending to this group};{MSG=};{FQDN=};{IP=};{LRT=}]"
"f833c45d-1495-4055-0868-08dc6b783723","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:52:07 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
